Id,Class
1,549
2,330
3,234
4,766
5,766
6,107
7,232
8,944
9,303
10,193
11,153
12,130
13,821
14,236
15,107
16,232
17,339
18,251
19,259
20,269
21,769
22,190
23,10
24,226
25,437
26,261
27,232
28,102
29,13
30,129
31,13
32,784
33,816
34,119
35,133
36,522
37,219
38,314
39,116
40,772
41,304
42,136
43,348
44,337
45,114
46,175
47,46
48,330
49,769
50,107
51,219
52,549
53,273
54,379
55,35
56,221
57,278
58,302
59,403
60,903
61,769
62,367
63,164
64,774
65,690
66,107
67,296
68,319
69,227
70,219
71,345
72,381
73,226
74,13
75,153
76,179
77,357
78,263
79,175
80,226
81,1000
82,302
83,903
84,162
85,172
86,344
87,397
88,340
89,381
90,199
91,549
92,383
93,218
94,232
95,229
96,31
97,225
98,549
99,120
100,376
101,393
102,320
103,750
104,126
105,234
106,548
107,234
108,25
109,844
110,27
111,274
112,107
113,379
114,791
115,219
116,769
117,549
118,226
119,549
120,175
121,217
122,592
123,413
124,769
125,248
126,237
127,302
128,501
129,22
130,217
131,319
132,320
133,248
134,765
135,170
136,548
137,391
138,519
139,237
140,302
141,102
142,999
143,294
144,296
145,119
146,750
147,351
148,487
149,172
150,291
151,232
152,176
153,232
154,868
155,236
156,446
157,175
158,379
159,468
160,232
161,22
162,599
163,125
164,347
165,769
166,107
167,206
168,236
169,772
170,417
171,199
172,391
173,549
174,303
175,195
176,293
177,430
178,311
179,549
180,34
181,339
182,774
183,999
184,903
185,581
186,22
187,136
188,690
189,769
190,126
191,131
192,495
193,193
194,121
195,1000
196,103
197,554
198,806
199,314
200,769
201,337
202,219
203,334
204,206
205,318
206,217
207,263
208,336
209,102
210,25
211,769
212,774
213,140
214,150
215,879
216,45
217,668
218,190
219,605
220,438
221,102
222,147
223,226
224,642
225,219
226,204
227,131
228,315
229,107
230,440
231,206
232,225
233,712
234,317
235,445
236,639
237,246
238,217
239,515
240,259
241,312
242,324
243,367
244,816
245,308
246,774
247,300
248,273
249,488
250,147
251,536
252,270
253,10
254,549
255,113
256,567
257,339
258,102
259,152
260,11
261,409
262,335
263,175
264,102
265,355
266,409
267,193
268,151
269,578
270,302
271,355
272,858
273,344
274,170
275,232
276,212
277,143
278,123
279,330
280,107
281,523
282,221
283,262
284,107
285,230
286,903
287,330
288,219
289,274
290,232
291,796
292,941
293,269
294,690
295,376
296,330
297,217
298,114
299,120
300,320
301,293
302,223
303,380
304,329
305,769
306,391
307,262
308,244
309,342
310,107
311,578
312,193
313,319
314,216
315,221
316,17
317,365
318,344
319,234
320,204
321,381
322,175
323,832
324,449
325,173
326,409
327,816
328,175
329,10
